name,age,active,balance,birthday,joined-at
alice,34,true,1250.50,1991-03-14,2024-01-15T09:30:00Z
bob,28,true,340.00,1997-07-02,2024-02-01T14:00:00Z
carol,45,false,9800.75,1980-11-23,2023-11-30T08:15:00+01:00
dan,,true,120.00,2001-05-09,2024-03-12T18:45:00Z
eve,52,true,15000.00,,2023-06-21T11:00:00 Europe/London
frank,31,false,0.00,1993-09-30,2024-04-02T07:20:00Z
grace,27,true,860.25,1998-01-17,2024-05-19T16:10:00-05:00
heidi,,false,45.10,,2024-06-08T12:00:00Z
ivan,39,true,2300.00,1986-08-05,2023-12-25T22:30:00Z
judy,24,true,410.90,2000-12-12,2024-07-04T10:05:00 America/New_York
mallory,48,false,77.77,1977-04-01,2024-08-16T13:40:00Z
niaj,36,true,5600.00,1989-10-28,2024-09-01T09:00:00Z
